projectandfeature,methodname,totaltraces,truetraces,precision,recall
Pynche-text,Classic vector model,9,1,0.1111111111111111,1.0
FAME_DBMS-testing,BM25,6,2,0.3333333333333333,1.0
Pynche-colorlist,Classic vector model,11,1,0.09090909090909091,1.0
Pynche-chip,BM25,3,1,0.3333333333333333,1.0
Pynche-typein,BM25,2,1,0.5,1.0
FAME_DBMS-win,BM25,4,2,0.5,1.0
FAME_DBMS-win,Classic vector model,4,2,0.5,1.0
Pynche-loadpalette,Classic vector model,1,1,1.0,1.0
FAME_DBMS-nutos,BM25,5,2,0.4,1.0
Pynche-loadpalette,BM25,1,1,1.0,1.0
FAME_DBMS-nutos,Classic vector model,5,2,0.4,1.0
Pynche-about,Classic vector model,3,1,0.3333333333333333,1.0
FAME_DBMS-write,BM25,9,1,0.1111111111111111,1.0
Pynche-details,BM25,3,1,0.3333333333333333,1.0
Pynche-about,BM25,3,1,0.3333333333333333,1.0
FAME_DBMS-write,Classic vector model,7,1,0.0,0.0
Pynche-help,Classic vector model,2,1,0.5,1.0
Pynche-help,BM25,2,1,0.5,1.0
Pynche-strip,BM25,4,1,0.25,1.0
FAME_DBMS-testing,Classic vector model,6,2,0.3333333333333333,1.0
Pynche-blue,Classic vector model,9,3,0.3333333333333333,1.0
Pynche-green,Classic vector model,9,3,0.3333333333333333,1.0
FAME_DBMS-win,Extended boolean,3,2,0.6666666666666666,1.0
FAME_DBMS-nutos,Extended boolean,2,2,0.0,0.0
FAME_DBMS-write,Extended boolean,1,1,0.0,0.0
Pynche-chip,Classic vector model,3,1,0.3333333333333333,1.0
Pynche-details,Classic vector model,3,1,0.3333333333333333,1.0
Pynche-typein,Classic vector model,2,1,0.5,1.0
FAME_DBMS-win,Neural networks,4,2,0.5,1.0
Pynche-red,Classic vector model,9,3,0.3333333333333333,1.0
FAME_DBMS-nutos,Neural networks,5,2,0.4,1.0
FAME_DBMS-write,Neural networks,8,1,0.125,1.0
Pynche-strip,Classic vector model,4,1,0.25,1.0
FAME_DBMS-testing,Neural networks,5,2,0.4,1.0
Pynche-chip,Extended boolean,3,1,0.3333333333333333,1.0
MinePump_C-stopcommand,Classic vector model,3,2,0.6666666666666666,1.0
MinePump_C-stopcommand,BM25,3,2,0.6666666666666666,1.0
MinePump_C-highwatersensor,Classic vector model,3,3,1.0,1.0
Pynche-details,Extended boolean,3,1,0.3333333333333333,1.0
MinePump_C-lowwatersensor,Classic vector model,3,3,1.0,1.0
Pynche-text,Neural networks,9,1,0.1111111111111111,1.0
MinePump_C-methanealarm,Classic vector model,3,1,0.3333333333333333,1.0
Pynche-typein,Extended boolean,2,1,0.5,1.0
MinePump_C-startcommand,Classic vector model,3,2,0.6666666666666666,1.0
Pynche-colorlist,Neural networks,11,1,0.09090909090909091,1.0
MinePump_C-stopcommand,Neural networks,3,2,0.6666666666666666,1.0
MinePump_C-highwatersensor,BM25,3,3,1.0,1.0
MinePump_C-stopcommand,Extended boolean,3,2,0.6666666666666666,1.0
MinePump_C-highwatersensor,Neural networks,3,3,1.0,1.0
Pynche-loadpalette,Extended boolean,1,1,1.0,1.0
Pynche-loadpalette,Neural networks,1,1,1.0,1.0
MinePump_C-lowwatersensor,BM25,3,3,1.0,1.0
Pynche-about,Extended boolean,3,1,0.3333333333333333,1.0
MinePump_C-methanealarm,BM25,3,1,0.3333333333333333,1.0
Pynche-about,Neural networks,3,1,0.3333333333333333,1.0
MinePump_C-highwatersensor,Extended boolean,3,3,1.0,1.0
MinePump_C-startcommand,BM25,3,2,0.6666666666666666,1.0
MinePump_C-lowwatersensor,Extended boolean,3,3,1.0,1.0
MinePump_C-highwatersensor,Latent semantic indexing,6,3,0.5,1.0
MinePump_C-lowwatersensor,Latent semantic indexing,8,3,0.375,1.0
MinePump_C-methanealarm,Extended boolean,3,1,0.3333333333333333,1.0
Pynche-help,Extended boolean,2,1,0.5,1.0
Pynche-help,Neural networks,2,1,0.5,1.0
MinePump_C-methanealarm,Latent semantic indexing,14,1,0.07142857142857142,1.0
Pynche-blue,Neural networks,9,3,0.3333333333333333,1.0
Pynche-strip,Extended boolean,4,1,0.25,1.0
MinePump_C-lowwatersensor,Neural networks,3,3,1.0,1.0
Pynche-green,Neural networks,9,3,0.3333333333333333,1.0
MinePump_C-startcommand,Latent semantic indexing,9,2,0.2222222222222222,1.0
MinePump_C-startcommand,Extended boolean,3,2,0.6666666666666666,1.0
MinePump_C-methanealarm,Neural networks,3,1,0.3333333333333333,1.0
MinePump_C-startcommand,Neural networks,3,2,0.6666666666666666,1.0
Pynche-chip,Neural networks,3,1,0.3333333333333333,1.0
MinePump_C-stopcommand,Latent semantic indexing,11,2,0.18181818181818182,1.0
MinePump_C-methanequery,Latent semantic indexing,8,1,0.0,0.0
Pynche-details,Neural networks,3,1,0.3333333333333333,1.0
Pynche-typein,Neural networks,2,1,0.5,1.0
Pynche-red,Neural networks,9,3,0.3333333333333333,1.0
Pynche-strip,Neural networks,4,1,0.25,1.0
Elevator_C-empty,Classic vector model,3,1,0.3333333333333333,1.0
Elevator_C-weight,Classic vector model,6,2,0.3333333333333333,1.0
Elevator_C-empty,BM25,3,1,0.3333333333333333,1.0
Elevator_C-weight,BM25,6,2,0.3333333333333333,1.0
Elevator_C-overloaded,Classic vector model,3,2,0.3333333333333333,0.5
Elevator_C-executivefloor,Classic vector model,2,2,1.0,1.0
Elevator_C-empty,Neural networks,3,1,0.3333333333333333,1.0
Elevator_C-weight,Neural networks,6,2,0.3333333333333333,1.0
Elevator_C-overloaded,Neural networks,3,2,0.3333333333333333,0.5
Elevator_C-executivefloor,Neural networks,2,2,1.0,1.0
Elevator_C-empty,Extended boolean,3,1,0.3333333333333333,1.0
Elevator_C-overloaded,BM25,3,2,0.3333333333333333,0.5
Elevator_C-executivefloor,BM25,2,2,1.0,1.0
Elevator_C-weight,Extended boolean,2,2,0.0,0.0
Elevator_C-overloaded,Extended boolean,3,2,0.3333333333333333,0.5
Elevator_C-executivefloor,Extended boolean,2,2,1.0,1.0
FAME_DBMS-win,Latent semantic indexing,11,2,0.18181818181818182,1.0
Elevator_C-empty,Latent semantic indexing,5,1,0.2,1.0
FAME_DBMS-nutos,Latent semantic indexing,11,2,0.18181818181818182,1.0
Elevator_C-weight,Latent semantic indexing,12,2,0.16666666666666666,1.0
Elevator_C-overloaded,Latent semantic indexing,8,2,0.25,1.0
FAME_DBMS-write,Latent semantic indexing,11,1,0.09090909090909091,1.0
Elevator_C-executivefloor,Latent semantic indexing,12,2,0.16666666666666666,1.0
FAME_DBMS-testing,Latent semantic indexing,11,2,0.18181818181818182,1.0
Elevator_Java-empty,Classic vector model,4,2,0.25,0.5
Elevator_Java-overloaded,Classic vector model,6,1,0.16666666666666666,1.0
Elevator_Java-twothirdsfull,Classic vector model,1,1,0.0,0.0
EmailSystem_C-encrypt,Classic vector model,6,3,0.3333333333333333,0.6666666666666666
Elevator_Java-weight,Classic vector model,6,3,0.5,1.0
Elevator_Java-empty,BM25,4,2,0.25,0.5
Elevator_Java-overloaded,BM25,6,1,0.16666666666666666,1.0
Elevator_Java-twothirdsfull,BM25,1,1,0.0,0.0
Elevator_Java-weight,BM25,7,3,0.42857142857142855,1.0
EmailSystem_C-verify,Classic vector model,7,4,0.5714285714285714,1.0
Elevator_Java-executivefloor,BM25,2,2,1.0,1.0
EmailSystem_C-decrypt,Classic vector model,2,1,0.5,1.0
EmailSystem_C-encrypt,BM25,6,3,0.3333333333333333,0.6666666666666666
Elevator_Java-empty,Neural networks,4,2,0.25,0.5
Elevator_Java-overloaded,Neural networks,6,1,0.16666666666666666,1.0
EmailSystem_C-forward,Classic vector model,7,4,0.5714285714285714,1.0
EmailSystem_C-verify,BM25,7,4,0.5714285714285714,1.0
Elevator_Java-executivefloor,Classic vector model,2,2,1.0,1.0
Elevator_Java-empty,Extended boolean,4,2,0.25,0.5
EmailSystem_C-sign,Classic vector model,8,3,0.375,1.0
EmailSystem_C-addressbook,Classic vector model,7,4,0.5714285714285714,1.0
EmailSystem_C-keys,Classic vector model,13,4,0.3076923076923077,1.0
EmailSystem_C-autoresponder,Classic vector model,7,4,0.5714285714285714,1.0
EmailSystem_C-decrypt,BM25,2,1,0.5,1.0
EmailSystem_C-forward,BM25,7,4,0.5714285714285714,1.0
EmailSystem_C-sign,BM25,8,3,0.375,1.0
EmailSystem_C-addressbook,BM25,7,4,0.5714285714285714,1.0
EmailSystem_C-keys,BM25,15,4,0.26666666666666666,1.0
EmailSystem_C-autoresponder,BM25,7,4,0.5714285714285714,1.0
Elevator_Java-overloaded,Extended boolean,2,1,0.0,0.0
Elevator_Java-twothirdsfull,Neural networks,1,1,0.0,0.0
EmailSystem_C-encrypt,Extended boolean,4,3,0.25,0.3333333333333333
Elevator_Java-weight,Neural networks,7,3,0.42857142857142855,1.0
Elevator_Java-twothirdsfull,Extended boolean,1,1,0.0,0.0
Elevator_Java-executivefloor,Extended boolean,2,2,1.0,1.0
EmailSystem_C-verify,Extended boolean,7,4,0.5714285714285714,1.0
Elevator_Java-executivefloor,Neural networks,2,2,1.0,1.0
EmailSystem_C-encrypt,Neural networks,6,3,0.3333333333333333,0.6666666666666666
EmailSystem_C-decrypt,Extended boolean,2,1,0.5,1.0
EmailSystem_C-verify,Neural networks,7,4,0.5714285714285714,1.0
EmailSystem_C-forward,Extended boolean,2,4,1.0,0.5
EmailSystem_C-sign,Extended boolean,1,3,0.0,0.0
EmailSystem_C-decrypt,Neural networks,2,1,0.5,1.0
EmailSystem_C-addressbook,Extended boolean,7,4,0.5714285714285714,1.0
Elevator_Java-empty,Latent semantic indexing,6,2,0.3333333333333333,1.0
EmailSystem_C-keys,Extended boolean,1,4,0.0,0.0
EmailSystem_C-forward,Neural networks,7,4,0.5714285714285714,1.0
EmailSystem_C-autoresponder,Extended boolean,5,4,0.4,0.5
Elevator_Java-overloaded,Latent semantic indexing,11,1,0.09090909090909091,1.0
EmailSystem_C-sign,Neural networks,8,3,0.375,1.0
EmailSystem_C-addressbook,Neural networks,7,4,0.5714285714285714,1.0
Elevator_Java-twothirdsfull,Latent semantic indexing,1,1,0.0,0.0
Elevator_Java-weight,Latent semantic indexing,12,3,0.25,1.0
EmailSystem_C-keys,Neural networks,5,4,0.0,0.0
Elevator_Java-executivefloor,Latent semantic indexing,15,2,0.13333333333333333,1.0
EmailSystem_C-autoresponder,Neural networks,7,4,0.5714285714285714,1.0
Pynche-text,Latent semantic indexing,11,1,0.09090909090909091,1.0
Pynche-colorlist,Latent semantic indexing,9,1,0.0,0.0
Pynche-loadpalette,Latent semantic indexing,10,1,0.1,1.0
EmailSystem_C-encrypt,Latent semantic indexing,6,3,0.3333333333333333,0.6666666666666666
Pynche-help,Latent semantic indexing,10,1,0.1,1.0
EmailSystem_C-verify,Latent semantic indexing,10,4,0.4,1.0
EmailSystem_C-decrypt,Latent semantic indexing,10,1,0.1,1.0
Pynche-blue,Latent semantic indexing,9,3,0.3333333333333333,1.0
Pynche-green,Latent semantic indexing,11,3,0.2727272727272727,1.0
EmailSystem_C-forward,Latent semantic indexing,16,4,0.25,1.0
Pynche-chip,Latent semantic indexing,11,1,0.09090909090909091,1.0
EmailSystem_C-sign,Latent semantic indexing,19,3,0.15789473684210525,1.0
Pynche-details,Latent semantic indexing,11,1,0.09090909090909091,1.0
EmailSystem_C-addressbook,Latent semantic indexing,23,4,0.17391304347826086,1.0
Pynche-typein,Latent semantic indexing,9,1,0.1111111111111111,1.0
Pynche-red,Latent semantic indexing,11,3,0.2727272727272727,1.0
EmailSystem_C-keys,Latent semantic indexing,27,4,0.14814814814814814,1.0
EmailSystem_C-autoresponder,Latent semantic indexing,31,4,0.12903225806451613,1.0
Pynche-about,Latent semantic indexing,11,1,0.09090909090909091,1.0
Pynche-strip,Latent semantic indexing,11,1,0.09090909090909091,1.0
NetBot-logging,Classic vector model,3,1,0.3333333333333333,1.0
NetBot-encryption,Classic vector model,4,2,0.5,1.0
NetBot-keylogging,Classic vector model,2,2,1.0,1.0
NetBot-logging,Neural networks,3,1,0.3333333333333333,1.0
NetBot-pcinfos,Classic vector model,22,5,0.09090909090909091,0.4
NetBot-encryption,Neural networks,4,2,0.5,1.0
NetBot-keylogging,Neural networks,2,2,1.0,1.0
NetBot-pcinfos,Neural networks,3,5,1.0,0.6
NetBot-logging,BM25,3,1,0.3333333333333333,1.0
NetBot-encryption,BM25,4,2,0.5,1.0
NetBot-keylogging,BM25,2,2,1.0,1.0
NetBot-pcinfos,BM25,5,5,1.0,1.0
NetBot-logging,Extended boolean,3,1,0.3333333333333333,1.0
NetBot-encryption,Extended boolean,4,2,0.5,1.0
NetBot-keylogging,Extended boolean,2,2,1.0,1.0
NetBot-logging,Latent semantic indexing,3,1,0.3333333333333333,1.0
NetBot-pcinfos,Extended boolean,1,5,1.0,0.2
NetBot-encryption,Latent semantic indexing,7,2,0.2857142857142857,1.0
NetBot-keylogging,Latent semantic indexing,7,2,0.2857142857142857,1.0
MinePump_Java-highwatersensor,Classic vector model,4,2,0.5,1.0
MinePump_Java-lowwatersensor,Classic vector model,3,2,0.3333333333333333,0.5
NetBot-pcinfos,Latent semantic indexing,25,5,0.2,1.0
MinePump_Java-highwatersensor,BM25,4,2,0.5,1.0
MinePump_Java-methanealarm,Classic vector model,4,1,0.25,1.0
MinePump_Java-startcommand,Classic vector model,6,1,0.16666666666666666,1.0
MinePump_Java-lowwatersensor,BM25,3,2,0.3333333333333333,0.5
MinePump_Java-stopcommand,Classic vector model,5,1,0.2,1.0
MinePump_Java-methanealarm,BM25,4,1,0.25,1.0
MinePump_Java-methanequery,Classic vector model,1,1,0.0,0.0
MinePump_Java-stopcommand,Extended boolean,1,1,0.0,0.0
MinePump_Java-highwatersensor,Extended boolean,4,2,0.5,1.0
MinePump_Java-highwatersensor,Neural networks,4,2,0.5,1.0
MinePump_Java-startcommand,BM25,7,1,0.14285714285714285,1.0
MinePump_Java-lowwatersensor,Neural networks,3,2,0.3333333333333333,0.5
MinePump_Java-lowwatersensor,Extended boolean,3,2,0.3333333333333333,0.5
MinePump_Java-stopcommand,BM25,5,1,0.2,1.0
MinePump_Java-methanealarm,Neural networks,4,1,0.25,1.0
MinePump_Java-methanealarm,Extended boolean,4,1,0.25,1.0
MinePump_Java-methanequery,BM25,1,1,0.0,0.0
MinePump_Java-startcommand,Neural networks,7,1,0.14285714285714285,1.0
MinePump_Java-stopcommand,Neural networks,5,1,0.2,1.0
MinePump_Java-methanequery,Neural networks,1,1,0.0,0.0
MinePump_Java-methanequery,Extended boolean,1,1,0.0,0.0
BattleOfTanks-p2_rot_cash_register,Classic vector model,1,1,1.0,1.0
MinePump_Java-highwatersensor,Latent semantic indexing,6,2,0.3333333333333333,1.0
BattleOfTanks-old,Classic vector model,1,1,1.0,1.0
BattleOfTanks-red_p1,Classic vector model,1,1,1.0,1.0
MinePump_Java-lowwatersensor,Latent semantic indexing,10,2,0.2,1.0
BattleOfTanks-p2_rot_cash_register,BM25,1,1,1.0,1.0
BattleOfTanks-p1_mov_siren2,Classic vector model,1,1,1.0,1.0
BattleOfTanks-blue_tier2_p1,Classic vector model,1,1,1.0,1.0
BattleOfTanks-spiral,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p1_mov_bleep1,Classic vector model,1,1,1.0,1.0
BattleOfTanks-old,BM25,1,1,1.0,1.0
BattleOfTanks-flower,Classic vector model,1,1,1.0,1.0
MinePump_Java-methanealarm,Latent semantic indexing,17,1,0.058823529411764705,1.0
BattleOfTanks-p1_mov_drip,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p2_mov_gorord,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p1_rot_horn,Classic vector model,1,1,1.0,1.0
MinePump_Java-startcommand,Latent semantic indexing,13,1,0.07692307692307693,1.0
BattleOfTanks-fire,Classic vector model,2,1,0.5,1.0
MinePump_Java-stopcommand,Latent semantic indexing,14,1,0.07142857142857142,1.0
BattleOfTanks-red_p1,BM25,1,1,1.0,1.0
BattleOfTanks-red_tier1_p2,Classic vector model,1,1,1.0,1.0
MinePump_Java-methanequery,Latent semantic indexing,6,1,0.0,0.0
BattleOfTanks-ov_paper,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p1_mov_siren2,BM25,1,1,1.0,1.0
BattleOfTanks-nr4,Classic vector model,1,1,1.0,1.0
BattleOfTanks-blue_tier2_p1,BM25,1,1,1.0,1.0
BattleOfTanks-spiral,BM25,1,1,1.0,1.0
BattleOfTanks-nr3,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p2_mov_buzzer,Classic vector model,1,1,1.0,1.0
BattleOfTanks-green,Classic vector model,2,1,0.5,1.0
BattleOfTanks-p1_mov_bleep1,BM25,1,1,1.0,1.0
BattleOfTanks-p2_mov_lasertrill,Classic vector model,1,1,1.0,1.0
BattleOfTanks-flower,BM25,1,1,1.0,1.0
BattleOfTanks-p2_rot_beep2,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p1_mov_drip,BM25,1,1,1.0,1.0
BattleOfTanks-glass,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p2_mov_gorord,BM25,1,1,1.0,1.0
BattleOfTanks-aa31,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p1_rot_horn,BM25,1,1,1.0,1.0
BattleOfTanks-p2_mov_beep1,Classic vector model,1,1,1.0,1.0
BattleOfTanks-fire,BM25,2,1,0.5,1.0
BattleOfTanks-p1_rot_yes,Classic vector model,1,1,1.0,1.0
BattleOfTanks-ring,Classic vector model,8,1,0.125,1.0
BattleOfTanks-red_tier1_p2,BM25,1,1,1.0,1.0
BattleOfTanks-red_tier1_p1,Classic vector model,1,1,1.0,1.0
BattleOfTanks-copy,Classic vector model,1,1,1.0,1.0
BattleOfTanks-ov_paper,BM25,1,1,1.0,1.0
Email_JML-encrypt,Classic vector model,5,2,0.4,1.0
BattleOfTanks-star_oval,Classic vector model,1,1,1.0,1.0
Email_JML-verify,Classic vector model,5,2,0.4,1.0
BattleOfTanks-octagonal,Classic vector model,1,1,1.0,1.0
Email_JML-encrypt,BM25,5,2,0.4,1.0
BattleOfTanks-nr7,Classic vector model,1,1,1.0,1.0
BattleOfTanks-nr4,BM25,1,1,1.0,1.0
BattleOfTanks-p2_rot_yes,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p2_mov_horn,Classic vector model,1,1,1.0,1.0
Email_JML-decrypt,Classic vector model,2,1,0.5,1.0
BattleOfTanks-nr3,BM25,1,1,1.0,1.0
BattleOfTanks-green_tier2_p1,Classic vector model,1,1,1.0,1.0
Email_JML-forward,Classic vector model,3,1,0.3333333333333333,1.0
Email_JML-verify,BM25,5,2,0.4,1.0
BattleOfTanks-p2_mov_buzzer,BM25,1,1,1.0,1.0
BattleOfTanks-blue_flower,Classic vector model,1,1,1.0,1.0
Email_JML-decrypt,BM25,2,1,0.5,1.0
BattleOfTanks-green,BM25,2,1,0.5,1.0
BattleOfTanks-p1_rot_siren_1,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p2_mov_lasertrill,BM25,1,1,1.0,1.0
BattleOfTanks-p2_rot_beep2,BM25,1,1,1.0,1.0
BattleOfTanks-p2_mov_cork,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p1_rot_beep2,Classic vector model,1,1,1.0,1.0
Email_JML-sign,Classic vector model,6,2,0.3333333333333333,1.0
BattleOfTanks-glass,BM25,1,1,1.0,1.0
BattleOfTanks-p2_rot_laser_trill,Classic vector model,1,1,1.0,1.0
Email_JML-addressbook,Classic vector model,4,1,0.0,0.0
BattleOfTanks-aa31,BM25,1,1,1.0,1.0
BattleOfTanks-mushroom,Classic vector model,1,1,1.0,1.0
BattleOfTanks-p2_mov_beep1,BM25,1,1,1.0,1.0
Email_JML-forward,BM25,3,1,0.3333333333333333,1.0
BattleOfTanks-p1_rot_yes,BM25,1,1,1.0,1.0
BattleOfTanks-blue_white_green,Classic vector model,1,1,1.0,1.0
Email_JML-keys,Classic vector model,7,1,0.14285714285714285,1.0
BattleOfTanks-red_tier1_p1,BM25,1,1,1.0,1.0
Email_JML-sign,BM25,6,2,0.3333333333333333,1.0
Email_JML-autoresponder,Classic vector model,2,1,0.5,1.0
Email_JML-addressbook,BM25,4,1,0.0,0.0
BattleOfTanks-blue_tier2_p2,Classic vector model,1,1,1.0,1.0
BattleOfTanks-copy,BM25,1,1,1.0,1.0
Email_JML-keys,BM25,9,1,0.1111111111111111,1.0
Email_JML-autoresponder,BM25,2,1,0.5,1.0
BattleOfTanks-star_oval,BM25,1,1,1.0,1.0
BattleOfTanks-p2_rot_police_siren,Classic vector model,1,1,1.0,1.0
BattleOfTanks-octagonal,BM25,1,1,1.0,1.0
BattleOfTanks-limba,Classic vector model,1,1,1.0,1.0
BattleOfTanks-nr7,BM25,1,1,1.0,1.0
BattleOfTanks-p2_rot_yes,BM25,1,1,1.0,1.0
BattleOfTanks-p1_mov_yes,Classic vector model,1,1,1.0,1.0
BattleOfTanks-univ,Classic vector model,1,1,1.0,1.0
